Date,Open,High,Low,Close
"Dec 30, 2024","2,425.00","2,610.00","2,421.95","2,592.35"
"Dec 27, 2024","2,415.00","2,446.15","2,390.50","2,409.95"
"Dec 26, 2024","2,378.05","2,410.00","2,368.00","2,400.25"
"Dec 24, 2024","2,355.20","2,412.90","2,340.00","2,372.45"
"Dec 23, 2024","2,373.95","2,379.50","2,332.75","2,338.95"
"Dec 20, 2024","2,429.00","2,453.85","2,333.00","2,344.95"
"Dec 19, 2024","2,429.00","2,434.00","2,397.10","2,419.35"
"Dec 18, 2024","2,489.00","2,496.60","2,452.00","2,457.40"
"Dec 17, 2024","2,512.00","2,525.00","2,480.75","2,487.60"
"Dec 16, 2024","2,530.00","2,537.50","2,503.00","2,512.40"
"Dec 13, 2024","2,504.00","2,545.00","2,479.05","2,527.55"
"Dec 12, 2024","2,457.00","2,534.80","2,446.25","2,504.10"
"Dec 11, 2024","2,469.00","2,480.00","2,451.00","2,457.25"
"Dec 10, 2024","2,501.00","2,501.00","2,455.00","2,467.20"
"Dec 9, 2024","2,507.90","2,526.00","2,483.15","2,495.85"
"Dec 6, 2024","2,520.00","2,535.00","2,502.50","2,506.40"
"Dec 5, 2024","2,505.00","2,538.15","2,470.25","2,522.55"
"Dec 4, 2024","2,528.00","2,530.05","2,470.10","2,494.75"
"Dec 3, 2024","2,464.00","2,558.00","2,462.05","2,514.20"
"Dec 2, 2024","2,491.35","2,508.00","2,426.60","2,457.05"
"Nov 29, 2024","2,464.05","2,520.00","2,400.00","2,463.15"
"Nov 28, 2024","2,440.00","2,526.30","2,400.00","2,437.10"
"Nov 27, 2024","2,180.00","2,418.00","2,142.15","2,397.80"
"Nov 26, 2024","2,265.60","2,292.85","2,136.00","2,150.50"
"Nov 25, 2024","2,315.00","2,333.65","2,238.00","2,257.50"
"Nov 22, 2024","2,101.00","2,289.70","2,025.00","2,228.00"
"Nov 21, 2024","2,539.35","2,539.35","2,155.05","2,183.65"
"Nov 19, 2024","2,831.00","2,894.80","2,809.80","2,821.50"
"Nov 18, 2024","2,826.80","2,858.65","2,793.30","2,818.70"
"Nov 14, 2024","2,824.00","2,844.80","2,801.00","2,826.80"
"Nov 13, 2024","2,860.00","2,889.00","2,808.00","2,816.70"
"Nov 12, 2024","2,910.00","2,930.45","2,855.00","2,870.00"
"Nov 11, 2024","2,928.00","2,946.80","2,888.00","2,903.65"
"Nov 8, 2024","2,965.10","2,995.00","2,911.25","2,929.10"
"Nov 7, 2024","3,045.00","3,045.00","2,943.05","2,970.10"
"Nov 6, 2024","2,918.00","3,070.00","2,918.00","3,046.25"
"Nov 5, 2024","2,897.40","2,924.00","2,870.00","2,915.55"
"Nov 4, 2024","2,935.00","2,943.00","2,857.75","2,897.40"
"Nov 1, 2024","2,960.00","2,975.60","2,928.40","2,949.50"
"Oct 31, 2024","2,967.90","2,976.50","2,933.85","2,947.25"
"Oct 30, 2024","2,864.00","2,997.15","2,815.05","2,969.30"
"Oct 29, 2024","2,803.00","2,863.05","2,732.85","2,848.60"
"Oct 28, 2024","2,701.10","2,822.40","2,672.10","2,798.65"
"Oct 25, 2024","2,845.00","2,847.00","2,654.70","2,693.45"
"Oct 24, 2024","2,841.05","2,875.15","2,807.90","2,830.20"
"Oct 23, 2024","2,840.85","2,879.00","2,820.10","2,835.55"
"Oct 22, 2024","2,938.00","2,955.00","2,818.00","2,823.80"
"Oct 21, 2024","3,005.15","3,014.95","2,916.95","2,937.65"
"Oct 18, 2024","2,990.00","3,031.70","2,968.10","3,002.00"
"Oct 17, 2024","3,089.95","3,100.00","2,993.00","3,013.75"
"Oct 16, 2024","3,098.00","3,115.40","3,061.00","3,085.90"
"Oct 15, 2024","3,124.00","3,128.00","3,091.50","3,104.70"
"Oct 14, 2024","3,145.00","3,150.10","3,092.85","3,101.10"
"Oct 11, 2024","3,174.20","3,190.00","3,116.00","3,137.20"
"Oct 10, 2024","3,140.00","3,211.00","3,056.10","3,174.20"
"Oct 9, 2024","3,175.00","3,179.95","3,134.40","3,153.75"
"Oct 8, 2024","3,018.50","3,170.00","2,994.85","3,160.70"
"Oct 7, 2024","3,110.65","3,128.50","2,980.45","3,018.00"
"Oct 4, 2024","3,119.90","3,149.50","3,070.00","3,110.65"
"Oct 3, 2024","3,150.00","3,196.35","3,084.10","3,116.00"
"Oct 1, 2024","3,136.30","3,192.00","3,107.00","3,186.10"
"Sep 30, 2024","3,129.00","3,209.90","3,120.40","3,135.85"
"Sep 27, 2024","3,122.00","3,179.00","3,116.00","3,130.30"
"Sep 26, 2024","3,085.00","3,148.00","3,085.00","3,122.65"
"Sep 25, 2024","3,108.00","3,123.90","3,080.20","3,105.10"
"Sep 24, 2024","3,055.00","3,101.00","3,040.25","3,093.90"
"Sep 23, 2024","3,020.00","3,070.00","3,015.25","3,043.95"
"Sep 20, 2024","2,948.15","3,025.00","2,942.05","3,008.50"
"Sep 19, 2024","2,975.05","2,975.25","2,890.35","2,943.15"
"Sep 18, 2024","2,976.00","2,984.75","2,935.00","2,956.30"
"Sep 17, 2024","2,990.05","2,995.90","2,952.50","2,975.20"
"Sep 16, 2024","2,972.00","3,026.40","2,972.00","2,984.90"
"Sep 13, 2024","2,972.00","3,001.95","2,956.05","2,968.35"
"Sep 12, 2024","2,950.00","3,000.00","2,917.15","2,991.00"
"Sep 11, 2024","2,985.00","2,992.95","2,928.00","2,937.85"
"Sep 10, 2024","2,971.60","3,007.40","2,947.60","2,986.40"
"Sep 9, 2024","2,972.10","2,972.50","2,927.30","2,964.15"
"Sep 6, 2024","3,019.00","3,025.00","2,968.00","2,975.45"
"Sep 5, 2024","3,025.00","3,037.90","3,002.00","3,015.35"
"Sep 4, 2024","3,010.00","3,025.00","2,955.20","3,012.35"
"Sep 3, 2024","3,037.00","3,053.05","3,023.80","3,036.10"
"Sep 2, 2024","3,021.10","3,059.15","2,997.60","3,042.15"
"Aug 30, 2024","3,030.00","3,038.55","3,003.30","3,019.35"
"Aug 29, 2024","3,030.00","3,041.95","2,981.30","3,020.15"
"Aug 28, 2024","3,078.00","3,078.00","3,022.10","3,028.00"
"Aug 27, 2024","3,072.20","3,095.75","3,064.00","3,067.10"
"Aug 26, 2024","3,088.00","3,090.00","3,055.00","3,069.00"
"Aug 23, 2024","3,101.00","3,123.00","3,067.60","3,076.35"
"Aug 22, 2024","3,130.75","3,150.00","3,091.00","3,099.05"
"Aug 21, 2024","3,070.65","3,153.30","3,068.40","3,115.70"
"Aug 20, 2024","3,118.95","3,126.00","3,058.85","3,070.65"
"Aug 19, 2024","3,122.05","3,134.30","3,092.95","3,102.55"
"Aug 16, 2024","3,070.00","3,121.60","3,039.35","3,108.80"
"Aug 14, 2024","3,085.70","3,085.70","3,027.75","3,040.10"
"Aug 13, 2024","3,170.05","3,178.10","3,081.75","3,092.20"
"Aug 12, 2024","3,100.00","3,169.85","3,014.00","3,151.75"
"Aug 9, 2024","3,209.00","3,219.30","3,171.05","3,187.55"
"Aug 8, 2024","3,190.55","3,242.65","3,156.55","3,167.55"
"Aug 7, 2024","3,118.00","3,190.00","3,112.00","3,185.95"
"Aug 6, 2024","3,084.00","3,142.80","3,057.25","3,072.70"
"Aug 5, 2024","3,085.00","3,133.05","2,996.30","3,038.20"
"Aug 2, 2024","3,200.00","3,215.00","3,111.00","3,160.90"
"Aug 1, 2024","3,180.00","3,258.00","3,151.70","3,217.25"
"Jul 31, 2024","3,141.00","3,197.50","3,135.00","3,169.40"
"Jul 30, 2024","3,092.00","3,155.00","3,066.65","3,128.75"
"Jul 29, 2024","3,094.30","3,120.35","3,074.00","3,089.35"
"Jul 26, 2024","2,995.00","3,109.00","2,988.10","3,080.50"
"Jul 25, 2024","2,960.70","3,017.65","2,945.10","2,973.50"
"Jul 24, 2024","2,995.35","3,007.50","2,959.30","2,970.70"
"Jul 23, 2024","3,020.00","3,038.00","2,886.35","2,995.35"
"Jul 22, 2024","3,005.70","3,026.90","2,972.15","3,000.85"
"Jul 19, 2024","3,092.00","3,094.50","3,000.00","3,005.70"
"Jul 18, 2024","3,106.00","3,111.00","3,057.15","3,092.20"
"Jul 16, 2024","3,110.00","3,137.75","3,096.10","3,109.30"
"Jul 15, 2024","3,066.10","3,103.50","3,058.35","3,090.40"
"Jul 12, 2024","3,090.00","3,098.80","3,058.35","3,065.45"
"Jul 11, 2024","3,118.70","3,129.80","3,074.10","3,078.30"
"Jul 10, 2024","3,120.10","3,127.25","3,063.40","3,096.00"
"Jul 9, 2024","3,115.95","3,158.00","3,100.50","3,110.75"
"Jul 8, 2024","3,147.90","3,158.20","3,075.00","3,113.60"
"Jul 5, 2024","3,143.90","3,158.55","3,123.95","3,147.90"
"Jul 4, 2024","3,192.00","3,194.45","3,138.05","3,144.25"
"Jul 3, 2024","3,158.00","3,194.55","3,147.75","3,190.95"
"Jul 2, 2024","3,179.85","3,207.80","3,131.05","3,153.20"
"Jul 1, 2024","3,179.95","3,193.15","3,157.55","3,183.80"
"Jun 28, 2024","3,190.00","3,211.95","3,157.00","3,177.15"
"Jun 27, 2024","3,177.00","3,202.25","3,150.00","3,175.15"
"Jun 26, 2024","3,169.05","3,187.70","3,163.90","3,170.50"
"Jun 25, 2024","3,204.75","3,208.45","3,156.35","3,171.10"
"Jun 24, 2024","3,185.75","3,214.80","3,135.00","3,194.60"
"Jun 21, 2024","3,265.05","3,277.10","3,176.40","3,189.30"
"Jun 20, 2024","3,263.90","3,315.00","3,240.00","3,259.45"
"Jun 19, 2024","3,314.00","3,314.00","3,226.30","3,261.90"
"Jun 18, 2024","3,310.00","3,345.00","3,287.20","3,309.05"
"Jun 14, 2024","3,225.00","3,275.00","3,221.10","3,261.75"
"Jun 13, 2024","3,230.00","3,254.00","3,207.25","3,224.80"
"Jun 12, 2024","3,224.90","3,245.00","3,208.00","3,219.05"
"Jun 11, 2024","3,224.00","3,265.00","3,195.05","3,221.25"
"Jun 10, 2024","3,267.00","3,284.40","3,205.50","3,220.10"
"Jun 7, 2024","3,170.40","3,233.75","3,151.60","3,219.55"
"Jun 6, 2024","3,184.00","3,222.40","3,137.15","3,185.65"
"Jun 5, 2024","3,030.00","3,150.00","2,750.00","3,115.35"
"Jun 4, 2024","3,520.00","3,520.00","2,733.95","2,941.25"
"Jun 3, 2024","3,725.00","3,743.90","3,586.05","3,645.25"
"May 31, 2024","3,225.25","3,434.45","3,225.25","3,411.35"
"May 30, 2024","3,254.00","3,274.30","3,174.50","3,194.25"
"May 29, 2024","3,250.00","3,322.90","3,212.00","3,258.80"
"May 28, 2024","3,309.65","3,329.50","3,229.05","3,244.05"
"May 27, 2024","3,358.00","3,358.00","3,267.05","3,289.05"
"May 24, 2024","3,406.00","3,457.85","3,355.60","3,384.95"
"May 23, 2024","3,156.70","3,406.00","3,135.55","3,387.30"
"May 22, 2024","3,129.95","3,145.00","3,073.50","3,140.95"
"May 21, 2024","3,067.90","3,175.00","3,034.50","3,117.50"
"May 17, 2024","3,041.05","3,091.00","3,015.50","3,060.50"
"May 16, 2024","3,065.00","3,076.95","2,974.95","3,041.65"
"May 15, 2024","3,046.75","3,118.85","3,037.60","3,049.75"
"May 14, 2024","2,894.95","3,046.00","2,874.55","3,037.55"
"May 13, 2024","2,803.00","2,890.00","2,790.50","2,879.60"
"May 10, 2024","2,794.95","2,809.00","2,760.45","2,797.25"
"May 9, 2024","2,864.80","2,883.65","2,756.00","2,766.65"
"May 8, 2024","2,850.00","2,890.90","2,820.00","2,860.55"
"May 7, 2024","2,889.95","2,905.35","2,822.00","2,835.95"
"May 6, 2024","2,993.25","3,000.20","2,850.00","2,874.65"
"May 3, 2024","3,030.00","3,045.00","2,975.10","2,993.25"
"May 2, 2024","3,071.95","3,119.85","3,015.05","3,039.60"
"Apr 30, 2024","3,094.00","3,108.45","3,045.00","3,054.70"
"Apr 29, 2024","3,110.00","3,110.50","3,051.50","3,081.20"
"Apr 26, 2024","3,119.90","3,129.90","3,066.05","3,080.40"
"Apr 25, 2024","3,050.00","3,120.90","3,025.65","3,115.25"
"Apr 24, 2024","3,071.95","3,087.85","3,040.00","3,043.55"
"Apr 23, 2024","3,059.00","3,091.00","3,043.10","3,065.10"
"Apr 22, 2024","3,053.00","3,077.50","3,025.00","3,063.35"
"Apr 19, 2024","3,000.00","3,057.05","2,962.50","3,026.95"
"Apr 18, 2024","3,125.15","3,145.00","3,008.30","3,019.30"
"Apr 16, 2024","3,101.00","3,149.20","3,100.00","3,106.40"
"Apr 15, 2024","3,150.00","3,180.30","3,103.20","3,147.45"
"Apr 12, 2024","3,210.00","3,247.50","3,205.30","3,209.90"
"Apr 10, 2024","3,200.00","3,254.60","3,192.50","3,242.00"
"Apr 9, 2024","3,240.70","3,251.00","3,185.00","3,198.45"
"Apr 8, 2024","3,240.95","3,243.50","3,197.20","3,224.55"
"Apr 5, 2024","3,211.10","3,234.00","3,178.95","3,224.80"
"Apr 4, 2024","3,250.00","3,273.00","3,201.70","3,210.80"
"Apr 3, 2024","3,250.00","3,260.15","3,222.00","3,233.45"
"Apr 2, 2024","3,258.95","3,285.00","3,240.00","3,268.75"
"Apr 1, 2024","3,230.20","3,291.80","3,207.85","3,252.10"
"Mar 28, 2024","3,134.00","3,237.00","3,096.75","3,197.10"
"Mar 27, 2024","3,115.00","3,138.45","3,106.25","3,122.10"
"Mar 26, 2024","3,100.50","3,171.95","3,089.10","3,109.95"
"Mar 22, 2024","3,066.55","3,128.95","3,048.05","3,107.70"
"Mar 21, 2024","3,089.55","3,107.10","3,059.60","3,066.50"
"Mar 20, 2024","3,075.00","3,083.20","3,021.10","3,051.45"
"Mar 19, 2024","3,126.00","3,164.80","3,041.85","3,052.70"
"Mar 18, 2024","3,050.10","3,124.00","2,976.05","3,111.75"
"Mar 15, 2024","3,111.00","3,143.40","3,061.25","3,132.20"
"Mar 14, 2024","2,927.45","3,101.20","2,880.00","3,087.45"
"Mar 13, 2024","3,125.00","3,138.05","2,850.15","2,906.20"
"Mar 12, 2024","3,207.35","3,222.70","3,111.00","3,122.50"
"Mar 11, 2024","3,241.20","3,259.00","3,200.00","3,207.35"
"Mar 7, 2024","3,240.00","3,262.00","3,220.00","3,226.55"
"Mar 6, 2024","3,323.00","3,323.00","3,183.15","3,233.95"
"Mar 5, 2024","3,325.30","3,334.00","3,295.05","3,310.20"
"Mar 4, 2024","3,335.00","3,350.00","3,310.05","3,317.15"
"Mar 1, 2024","3,309.85","3,346.00","3,281.80","3,318.75"
"Feb 29, 2024","3,220.05","3,304.75","3,205.35","3,285.40"
"Feb 28, 2024","3,309.20","3,318.80","3,207.50","3,219.00"
"Feb 27, 2024","3,339.00","3,340.00","3,273.00","3,302.30"
"Feb 26, 2024","3,272.00","3,344.00","3,263.00","3,327.75"
"Feb 23, 2024","3,263.05","3,319.95","3,225.10","3,273.30"
"Feb 22, 2024","3,239.00","3,274.00","3,210.50","3,263.05"
"Feb 21, 2024","3,238.00","3,300.00","3,205.00","3,223.20"
"Feb 20, 2024","3,267.00","3,269.80","3,210.15","3,228.60"
"Feb 19, 2024","3,240.00","3,308.60","3,235.80","3,258.80"
"Feb 16, 2024","3,214.00","3,252.30","3,192.65","3,223.60"
"Feb 15, 2024","3,219.85","3,252.75","3,184.05","3,193.80"
"Feb 14, 2024","3,184.00","3,255.25","3,169.85","3,207.20"
"Feb 13, 2024","3,180.00","3,194.00","3,092.05","3,178.45"
"Feb 12, 2024","3,229.00","3,241.95","3,160.00","3,169.75"
"Feb 9, 2024","3,184.45","3,224.95","3,121.20","3,215.20"
"Feb 8, 2024","3,245.60","3,245.60","3,146.10","3,168.60"
"Feb 7, 2024","3,220.05","3,277.95","3,210.00","3,229.85"
"Feb 6, 2024","3,183.90","3,228.20","3,160.00","3,203.75"
"Feb 5, 2024","3,170.00","3,229.40","3,151.45","3,173.45"
"Feb 2, 2024","3,184.95","3,208.50","3,140.00","3,157.45"
"Feb 1, 2024","3,156.90","3,236.95","3,083.05","3,153.50"
"Jan 31, 2024","3,092.75","3,151.70","3,072.40","3,142.00"
"Jan 30, 2024","3,081.00","3,129.90","3,020.90","3,091.10"
"Jan 29, 2024","2,929.00","3,092.70","2,923.05","3,064.65"
"Jan 25, 2024","2,903.45","2,926.35","2,804.40","2,893.60"
"Jan 24, 2024","2,901.00","2,929.10","2,871.25","2,903.45"
"Jan 23, 2024","3,014.95","3,014.95","2,885.50","2,896.55"
"Jan 19, 2024","2,945.35","2,949.45","2,903.05","2,915.65"
"Jan 18, 2024","2,975.55","2,985.00","2,885.10","2,918.90"
"Jan 17, 2024","3,033.00","3,045.00","2,946.30","2,971.05"
"Jan 16, 2024","3,095.00","3,104.50","3,035.00","3,056.50"
"Jan 15, 2024","3,127.00","3,130.00","3,067.45","3,089.50"
"Jan 12, 2024","3,096.35","3,125.00","3,068.20","3,104.10"
"Jan 11, 2024","3,120.00","3,129.00","3,065.00","3,080.90"
"Jan 10, 2024","3,024.00","3,112.00","3,020.05","3,098.20"
"Jan 9, 2024","2,990.70","3,068.80","2,980.00","3,014.60"
"Jan 8, 2024","3,020.00","3,027.00","2,952.95","2,963.50"
"Jan 5, 2024","3,009.95","3,066.90","2,981.10","3,006.60"
"Jan 4, 2024","3,039.40","3,044.45","2,990.00","2,998.30"
"Jan 3, 2024","3,047.00","3,199.00","2,955.60","3,003.00"
"Jan 2, 2024","2,922.00","2,948.20","2,841.00","2,932.40"
"Jan 1, 2024","2,852.30","2,947.00","2,842.05","2,917.20"
"Dec 29, 2023","2,823.90","2,863.30","2,802.85","2,848.95"
"Dec 28, 2023","2,855.00","2,867.35","2,800.10","2,809.90"
"Dec 27, 2023","2,880.70","2,894.80","2,833.60","2,843.35"
"Dec 26, 2023","2,817.00","2,893.75","2,800.10","2,865.45"
"Dec 22, 2023","2,815.95","2,847.60","2,791.40","2,808.35"
"Dec 21, 2023","2,750.00","2,821.95","2,725.00","2,799.75"
"Dec 20, 2023","2,946.00","2,968.00","2,766.20","2,783.85"
"Dec 19, 2023","2,988.80","2,994.35","2,915.00","2,941.25"
"Dec 18, 2023","2,993.95","3,027.75","2,961.10","2,980.60"
"Dec 15, 2023","2,912.05","3,000.00","2,893.90","2,991.80"
"Dec 14, 2023","2,900.95","2,932.95","2,887.00","2,894.05"
"Dec 13, 2023","2,860.00","2,899.10","2,805.00","2,875.05"
"Dec 12, 2023","2,869.10","2,895.95","2,840.55","2,857.65"
"Dec 11, 2023","2,837.05","2,919.90","2,811.05","2,855.80"
"Dec 8, 2023","2,902.70","2,927.00","2,760.00","2,822.15"
"Dec 7, 2023","2,900.00","2,945.90","2,853.05","2,887.15"
"Dec 6, 2023","3,080.00","3,154.55","2,844.85","2,883.95"
"Dec 5, 2023","2,531.20","2,999.90","2,531.20","2,959.35"
"Dec 4, 2023","2,549.95","2,595.00","2,487.45","2,531.20"
"Dec 1, 2023","2,370.00","2,403.35","2,354.10","2,362.70"
"Nov 30, 2023","2,400.05","2,409.00","2,343.05","2,358.55"
"Nov 29, 2023","2,468.70","2,477.65","2,390.00","2,396.60"
"Nov 28, 2023","2,301.00","2,512.40","2,275.00","2,423.50"
"Nov 24, 2023","2,179.00","2,251.95","2,160.90","2,225.45"
"Nov 23, 2023","2,190.00","2,190.00","2,160.60","2,175.25"
"Nov 22, 2023","2,205.15","2,225.00","2,153.50","2,172.65"
"Nov 21, 2023","2,160.00","2,232.55","2,158.35","2,196.65"
"Nov 20, 2023","2,211.00","2,218.50","2,142.00","2,149.85"
"Nov 17, 2023","2,205.90","2,237.95","2,201.00","2,208.80"
"Nov 16, 2023","2,226.00","2,232.80","2,196.10","2,205.90"
"Nov 15, 2023","2,240.00","2,250.00","2,220.50","2,225.40"
"Nov 13, 2023","2,215.50","2,241.90","2,195.55","2,213.65"
"Nov 10, 2023","2,220.25","2,237.00","2,198.50","2,205.10"
"Nov 9, 2023","2,269.00","2,272.60","2,210.10","2,214.65"
"Nov 8, 2023","2,245.30","2,298.00","2,235.00","2,259.95"
"Nov 7, 2023","2,257.00","2,260.00","2,226.65","2,233.35"
"Nov 6, 2023","2,253.95","2,260.00","2,233.00","2,246.00"
"Nov 3, 2023","2,215.30","2,279.00","2,215.00","2,229.85"
